LOCATION
POINT(4.647558 51.798011)
POINT(4.649168 51.789835)
POINT(4.648075 51.792949)
POINT(4.648927 51.783429)
POINT(4.634506 51.737255)
POINT(4.63187 51.727897)
POINT(4.632303 51.724945)
POINT(4.641346 51.710473)
POINT(4.648918 51.700297)
POINT(4.827294 51.67561)
POINT(4.838477 51.678326)
POINT(4.842578 51.679203)
POINT(4.851612 51.681134)
POINT(4.893674 51.695693)
POINT(4.923092 51.693828)
POINT(5.042453 51.691732)
POINT(5.041248 51.68742)
POINT(5.04415 51.682905)
POINT(5.04841 51.678575)
POINT(5.055052 51.671601)
POINT(5.057181 51.668816)
POINT(5.056691 51.659379)
POINT(5.056955 51.650365)
POINT(5.058494 51.645321)
POINT(5.06072 51.638386)
POINT(5.062123 51.629874)
POINT(5.065884 51.621488)
POINT(5.071193 51.607869)
POINT(4.884125 52.370652)
POINT(4.886583 52.373459)
POINT(4.342162 51.990856)
POINT(4.6208 51.834206)
POINT(4.613324 51.8407)
POINT(4.612831 51.841076)
POINT(4.210914 52.005919)
POINT(4.193344 52.003391)
POINT(4.192096 52.002373)
POINT(4.204161 51.984467)
POINT(4.199633 51.987633)
POINT(4.343912 51.913012)
POINT(4.341868 51.91012)
POINT(4.351125 51.91432)
POINT(4.352953 51.912975)
POINT(4.436125 51.869543)
POINT(4.559839 51.870251)
POINT(4.535882 51.855188)
POINT(4.571096 51.874016)
POINT(4.56888 51.877508)
POINT(4.593595 51.861113)
POINT(4.599257 51.856614)
POINT(4.602321 51.852114)
POINT(4.606603 51.850216)
POINT(4.608652 51.844977)
POINT(4.650616 51.781244)
POINT(4.673753 51.671143)
POINT(4.681003 51.661319)
POINT(4.711593 51.649192)
POINT(4.733876 51.652841)
POINT(4.757023 51.656322)
POINT(4.674345 52.251846)
POINT(4.491078 52.131271)
POINT(4.384695 52.068199)
POINT(4.384695 52.068199)
POINT(4.386566 52.032217)
POINT(4.371449 52.016212)
POINT(4.463409 51.928563)
POINT(4.467097 51.928997)
POINT(4.448905 51.917108)
POINT(4.455216 51.921356)
POINT(4.455145 51.921374)
POINT(4.441672 51.940178)
POINT(4.386598 52.032096)
POINT(4.36479 52.015033)
POINT(4.614515 52.311539)
POINT(4.663299 52.330547)
POINT(4.663299 52.330547)
POINT(6.1906 52.67664)
POINT(6.180978 52.706228)
POINT(6.172671 52.717971)
POINT(6.151471 52.75131)
POINT(6.142552 52.763584)
POINT(6.133764 52.773014)
POINT(6.059374 52.827714)
POINT(6.051784 52.834387)
POINT(5.957832 52.931384)
POINT(5.892476 52.985695)
POINT(5.875122 53.000029)
POINT(5.88769 52.959566)
POINT(5.824594 52.945905)
POINT(5.707085 52.831521)
POINT(5.698196 52.818196)
POINT(5.753368 52.763976)
POINT(5.938561 52.686865)
POINT(5.974273 52.681523)
POINT(6.021841 52.668332)
POINT(6.025933 52.661823)
POINT(6.037817 52.65193)
POINT(6.049547 52.647323)
POINT(6.028492 52.657036)
POINT(6.070338 52.639265)
POINT(4.846634 52.395187)
POINT(5.072834 51.568504)
POINT(5.076494 51.567386)
POINT(5.082674 51.567505)
POINT(5.08562 51.567883)
POINT(5.092724 51.561655)
POINT(5.087944 51.567077)
POINT(6.886507 52.864857)
POINT(6.832651 52.90376)
POINT(4.989981 52.162623)
POINT(6.845022 52.924953)
POINT(5.067216 52.096962)
POINT(6.796657 52.9242)
POINT(5.191589 51.898163)
POINT(5.201256 51.887767)
POINT(5.225311 51.855236)
POINT(5.165977 51.851566)
POINT(5.364855 51.883243)
POINT(5.601164 51.923092)
POINT(5.837013 51.854233)
POINT(5.837013 51.854233)
POINT(5.836826 51.854019)
POINT(5.836826 51.854019)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.842674 51.854996)
POINT(5.858512 51.890663)
POINT(5.858512 51.890663)
POINT(5.858512 51.890663)
POINT(5.769364 51.921597)
POINT(5.607022 51.923504)
POINT(5.505268 51.916869)
POINT(5.444898 51.901817)
POINT(5.432299 51.900985)
POINT(5.422179 51.900428)
POINT(5.30788 51.860857)
POINT(5.065596 52.055336)
POINT(5.136234 51.579351)
POINT(5.141616 51.579282)
POINT(5.140502 51.584685)
POINT(5.144261 51.609749)
POINT(5.16195 51.598222)
POINT(5.166105 51.610402)
POINT(5.179703 51.613849)
POINT(5.230298 51.62738)
POINT(5.231648 51.623683)
POINT(5.237946 51.584125)
